DateTime,Open,High,Low,Close,Volume
2024-01-08 00:00:00,946.7,946.8329,946.5611,946.6831,3734
2024-01-08 00:15:00,946.6831,946.8201,946.5278,946.6658,3105
2024-01-08 00:30:00,946.6658,946.7916,946.5156,946.6519,3103
2024-01-08 00:45:00,946.6519,946.7715,946.4964,946.6342,4708
2024-01-08 01:00:00,946.6342,946.7723,946.4836,946.6192,4402
2024-01-08 01:15:00,946.6192,946.7451,946.4727,946.5969,4783
2024-01-08 01:30:00,946.5969,946.7084,946.4544,946.5753,4670
2024-01-08 01:45:00,946.5753,946.6942,946.4182,946.5525,4320
2024-01-08 02:00:00,946.5525,946.6827,946.3928,946.5327,4316
2024-01-08 02:15:00,946.5327,946.6558,946.3919,946.5196,4052
2024-01-08 02:30:00,946.5196,946.6585,946.3663,946.5037,3983
2024-01-08 02:45:00,946.5037,946.6417,946.3574,946.4842,3841
2024-01-08 03:00:00,946.4842,946.6222,946.3402,946.4743,4028
2024-01-08 03:15:00,946.4743,946.6056,946.3344,946.4589,4233
2024-01-08 03:30:00,946.4589,946.5989,946.2998,946.4384,3942
2024-01-08 03:45:00,946.4384,946.5589,946.2993,946.4249,3030
2024-01-08 04:00:00,946.4249,946.5595,946.2691,946.407,4333
2024-01-08 04:15:00,946.407,946.5372,946.262,946.39,4397
2024-01-08 04:30:00,946.39,946.5134,946.2372,946.3751,3738
2024-01-08 04:45:00,946.3751,946.4993,946.229,946.3598,4075
2024-01-08 05:00:00,946.3598,946.4831,946.2247,946.3409,3241
2024-01-08 05:15:00,946.3409,946.469,946.1877,946.3215,4160
2024-01-08 05:30:00,946.3215,946.4594,946.1811,946.3026,4346
2024-01-08 05:45:00,946.3026,946.4283,946.151,946.285,4096
2024-01-08 06:00:00,946.285,946.4218,946.1367,946.2663,3834
2024-01-08 06:15:00,946.2663,946.4012,946.1213,946.2519,4223
2024-01-08 06:30:00,946.2519,946.3797,946.1055,946.2386,4349
2024-01-08 06:45:00,946.2386,946.3668,946.0791,946.2182,4068
2024-01-08 07:00:00,946.2182,946.3515,946.0698,946.2058,4519
2024-01-08 07:15:00,946.2058,946.327,946.0707,946.1919,3884
2024-01-08 07:30:00,946.1919,946.312,946.0354,946.1709,4397
2024-01-08 07:45:00,946.1709,946.3104,946.0301,946.149,4274
2024-01-08 08:00:00,946.149,946.2745,946.0157,946.1341,4080
2024-01-08 08:15:00,946.1341,946.2586,945.977,946.1164,4042
2024-01-08 08:30:00,946.1164,946.2536,945.9732,946.1032,3421
2024-01-08 08:45:00,946.1032,946.2124,945.9602,946.0854,2993
2024-01-08 09:00:00,946.0854,946.2092,945.9383,946.0654,4001
2024-01-08 09:15:00,946.0654,946.1993,945.9143,946.0512,4255
2024-01-08 09:30:00,946.0512,946.1675,945.8921,946.0286,4247
2024-01-08 09:45:00,946.0286,946.1665,945.8773,946.0112,4074
2024-01-08 10:00:00,946.0112,946.1441,945.8595,945.9898,4253
2024-01-08 10:15:00,945.9898,946.1276,945.852,945.9799,4319
2024-01-08 10:30:00,945.9799,946.1185,945.8399,945.9693,3051
2024-01-08 10:45:00,945.9693,946.1061,945.8256,945.9554,3960
2024-01-08 11:00:00,945.9554,946.0849,945.8027,945.9376,3493
2024-01-08 11:15:00,945.9376,946.0651,945.7829,945.9222,3579
2024-01-08 11:30:00,945.9222,946.0578,945.7694,945.9043,3777
2024-01-08 11:45:00,945.9043,946.033,945.7488,945.88,4334
2024-01-08 12:00:00,945.88,946.0096,945.7316,945.8622,4014
