DateTime,Open,High,Low,Close,Volume
2024-01-08,23.12,23.1233,22.9834,22.9862,396167
2024-01-09,22.904,23.1457,22.9012,23.1422,400238
2024-01-10,22.884,23.006,22.8806,23.003,399217
2024-01-11,22.537,22.9881,22.5337,22.9849,392466
2024-01-12,23.162,23.1644,22.8309,22.8332,396145
2024-01-16,22.933,22.9364,22.9296,22.933,393515
2024-01-17,22.516,22.9132,22.5131,22.9099,393210
2024-01-18,22.667,22.6702,22.6357,22.6388,391615
2024-01-19,22.571,22.5739,22.5116,22.5144,404157
2024-01-22,22.163,22.1663,22.0042,22.0067,390010
2024-01-23,22.334,22.3373,22.3307,22.334,403453
2024-01-24,22.755,22.8578,22.7519,22.8549,398285
2024-01-25,22.808,22.8738,22.8049,22.8708,400259
2024-01-26,22.755,22.7613,22.7513,22.7569,398624
2024-01-29,23.138,23.1412,23.0922,23.0953,394930
2024-01-30,23.107,23.2164,23.1037,23.2131,388331
2024-01-31,23.051,23.0545,23.0475,23.051,396368
2024-02-01,23.13,23.132,22.8581,22.8603,387354
2024-02-02,22.701,23.1513,22.6986,23.1479,392338
2024-02-05,22.335,22.4842,22.3325,22.4819,396862
2024-02-06,22.393,22.4557,22.3899,22.4527,388810
2024-02-07,22.278,22.3403,22.2746,22.3377,387494
2024-02-08,22.565,22.5681,22.4939,22.497,393838
2024-02-09,22.528,22.5305,22.4021,22.4053,393726
2024-02-12,22.709,22.7117,22.6429,22.6462,399151
2024-02-13,22.096,22.0993,22.0927,22.096,399667
2024-02-14,22.331,22.333,22.0254,22.0282,393572
2024-02-15,22.912,22.9152,22.5913,22.5937,400991
2024-02-16,23.439,23.4425,23.4355,23.439,391623
2024-02-20,23.106,23.1548,23.1028,23.152,397138
2024-02-21,22.851,23.1813,22.8484,23.178,402773
2024-02-22,22.765,22.7684,22.7616,22.765,390671
2024-02-23,22.969,22.9724,22.9656,22.969,400495
2024-02-26,22.517,22.5995,22.5137,22.5962,395527
2024-02-27,22.523,22.5264,22.5196,22.523,392361
2024-02-28,22.41,22.4351,22.4063,22.4311,392889
2024-02-29,22.666,22.6702,22.4287,22.4314,393088
2024-03-01,23.15,23.1525,22.6507,22.654,401744
2024-03-04,23.779,23.7826,23.13,23.1313,396741
2024-03-05,23.763,23.7723,23.7206,23.7271,398950
2024-03-06,24.272,24.2737,23.5767,23.5799,399037
2024-03-07,24.37,24.3725,24.1601,24.163,402117
2024-03-08,24.339,24.5102,24.3356,24.5076,399281
2024-03-11,24.512,24.5154,24.3889,24.3922,403132
2024-03-12,24.194,24.4824,24.191,24.4789,390497
2024-03-13,24.959,24.9613,24.2095,24.2117,390004
2024-03-14,24.874,24.8782,24.8691,24.8745,400525
2024-03-15,25.2,25.2038,24.8146,24.8175,398146
2024-03-18,25.091,25.1583,25.0874,25.1542,394091
2024-03-19,24.964,25.1748,24.9612,25.1715,386358
2024-03-20,24.933,24.9367,24.9293,24.933,393709
2024-03-21,24.849,25.6388,24.8458,25.6358,400569
2024-03-22,24.692,24.755,24.6883,24.7513,392015
2024-03-25,24.745,24.8144,24.7413,24.811,396741
2024-03-26,24.483,24.6438,24.4803,24.6404,389519
2024-03-27,24.625,24.6287,24.4197,24.4227,390076
2024-03-28,24.797,24.8,24.6939,24.6972,401275
2024-04-01,24.954,25.2681,24.9511,25.2661,390440
2024-04-02,25.804,25.8073,25.3021,25.3041,395193
2024-04-03,26.945,26.9474,26.2508,26.2534,397142
2024-04-04,27.14,27.233,27.1354,27.2292,395617
2024-04-05,27.4,27.4034,26.4936,26.4962,386282
2024-04-08,27.712,27.801,27.7074,27.7971,395744
2024-04-09,27.891,28.1221,27.8868,28.1187,390006
2024-04-10,27.961,27.9646,27.768,27.7719,395241
2024-04-11,28.176,28.1802,28.1314,28.1368,401379
2024-04-12,28.255,28.5327,28.25,28.5279,400544
2024-04-15,28.651,28.6557,28.2354,28.2394,393892
2024-04-16,28.318,28.3546,28.3139,28.3507,391262
2024-04-17,28.346,28.5075,28.3424,28.5033,392391
2024-04-18,28.329,28.3332,28.3248,28.329,394934
2024-04-19,28.808,28.8117,28.5053,28.5075,391888
2024-04-22,27.213,27.2171,27.2089,27.213,387355
2024-04-23,27.331,27.3339,27.1381,27.1426,396192
2024-04-24,27.324,27.3276,27.1453,27.1484,401670
2024-04-25,27.342,27.3461,27.3379,27.342,400831
2024-04-26,27.241,27.2451,27.2369,27.241,400532
2024-04-29,27.373,27.3756,27.2014,27.2045,396248
2024-04-30,26.391,27.1644,26.3877,27.1609,395581
2024-05-01,26.489,26.4928,26.274,26.2768,395560
2024-05-02,26.583,26.7202,26.5782,26.7171,394135
2024-05-03,26.445,26.6239,26.4405,26.6184,396386
2024-05-06,27.369,27.3723,26.9531,26.9565,386223
2024-05-07,27.303,27.309,27.2961,27.3002,396530
2024-05-08,27.361,27.3643,27.2614,27.2648,396571
2024-05-09,28.132,28.1363,27.6019,27.6054,395155
2024-05-10,28.275,28.6001,28.2714,28.5972,399225
2024-05-13,28.221,28.2248,28.0531,28.0572,389956
2024-05-14,28.485,28.489,28.2713,28.2748,405861
2024-05-15,29.514,29.5167,28.5988,28.6021,395890
2024-05-16,29.665,29.8717,29.6614,29.8673,392951
2024-05-17,31.047,31.0495,29.7947,29.7976,404712
2024-05-20,32.205,32.2091,30.9772,30.9803,400381
2024-05-21,31.868,32.5013,31.8641,32.4967,390315
2024-05-22,31.295,32.0593,31.291,32.0552,399547
2024-05-23,30.284,30.3591,30.2792,30.3545,394304
2024-05-24,30.33,30.3729,30.3255,30.3689,399403
2024-05-28,31.971,31.975,31.5388,31.543,394864
2024-05-29,32.203,32.2078,32.1982,32.203,394212
2024-05-30,31.388,31.964,31.3846,31.9607,402301
2024-05-31,30.297,30.4144,30.2927,30.4101,387964
2024-06-03,30.641,30.6483,30.4317,30.4364,395121
2024-06-04,29.488,29.7721,29.4843,29.7683,386300
2024-06-05,29.948,29.9511,29.5499,29.5531,400341
2024-06-06,31.247,31.2506,30.5485,30.551,393991
2024-06-07,29.335,31.4885,29.332,31.4858,395549
