DateTime,Open,High,Low,Close,Volume
2024-01-08 00:00:00,23.12,23.1233,23.1137,23.1169,8584
2024-01-08 00:30:00,23.1169,23.1203,23.1123,23.1151,7561
2024-01-08 01:00:00,23.1151,23.118,23.1087,23.1119,8953
2024-01-08 01:30:00,23.1119,23.1146,23.1044,23.1077,8918
2024-01-08 02:00:00,23.1077,23.1109,23.1023,23.1046,7570
2024-01-08 02:30:00,23.1046,23.1077,23.0981,23.1013,8390
2024-01-08 03:00:00,23.1013,23.1048,23.0967,23.0996,9782
2024-01-08 03:30:00,23.0996,23.1028,23.0944,23.0976,8508
2024-01-08 04:00:00,23.0976,23.1002,23.0921,23.0952,9217
2024-01-08 04:30:00,23.0952,23.0976,23.0897,23.0931,9014
2024-01-08 05:00:00,23.0931,23.0962,23.0875,23.0909,7863
2024-01-08 05:30:00,23.0909,23.0934,23.0847,23.0876,7140
2024-01-08 06:00:00,23.0876,23.0906,23.082,23.0852,7107
2024-01-08 06:30:00,23.0852,23.0882,23.0791,23.0819,9199
2024-01-08 07:00:00,23.0819,23.0849,23.0763,23.0793,6875
2024-01-08 07:30:00,23.0793,23.0825,23.0737,23.0769,8339
2024-01-08 08:00:00,23.0769,23.0793,23.07,23.0735,7305
2024-01-08 08:30:00,23.0735,23.0762,23.0671,23.07,8332
2024-01-08 09:00:00,23.07,23.0732,23.0635,23.0664,7773
2024-01-08 09:30:00,23.0664,23.0695,23.0605,23.0637,7862
2024-01-08 10:00:00,23.0637,23.0668,23.0589,23.0622,7880
2024-01-08 10:30:00,23.0622,23.0657,23.0561,23.0588,8012
2024-01-08 11:00:00,23.0588,23.0622,23.0536,23.057,7887
2024-01-08 11:30:00,23.057,23.0594,23.0507,23.0539,7510
2024-01-08 12:00:00,23.0539,23.0567,23.0476,23.0506,6478
2024-01-08 12:30:00,23.0506,23.0537,23.0436,23.0464,7628
2024-01-08 13:00:00,23.0464,23.0498,23.0408,23.0442,7957
2024-01-08 13:30:00,23.0442,23.047,23.0385,23.0412,9437
2024-01-08 14:00:00,23.0412,23.044,23.0358,23.0386,8364
2024-01-08 14:30:00,23.0386,23.042,23.0328,23.0357,8554
2024-01-08 15:00:00,23.0357,23.0387,23.0309,23.0338,7728
2024-01-08 15:30:00,23.0338,23.0368,23.028,23.0309,8001
2024-01-08 16:00:00,23.0309,23.0345,23.0259,23.0287,7213
2024-01-08 16:30:00,23.0287,23.0321,23.0228,23.0263,9396
2024-01-08 17:00:00,23.0263,23.0293,23.02,23.0233,8511
2024-01-08 17:30:00,23.0233,23.0264,23.0182,23.0212,7732
2024-01-08 18:00:00,23.0212,23.0237,23.0144,23.0171,9075
2024-01-08 18:30:00,23.0171,23.02,23.0103,23.0133,9514
2024-01-08 19:00:00,23.0133,23.0168,23.0089,23.0121,7997
2024-01-08 19:30:00,23.0121,23.015,23.0061,23.0093,9186
2024-01-08 20:00:00,23.0093,23.0125,23.0035,23.0072,9149
2024-01-08 20:30:00,23.0072,23.0105,23.0024,23.0058,8221
2024-01-08 21:00:00,23.0058,23.0087,23.0004,23.0036,8531
2024-01-08 21:30:00,23.0036,23.006,22.9967,22.9997,7907
2024-01-08 22:00:00,22.9997,23.0029,22.9926,22.9961,7983
2024-01-08 22:30:00,22.9961,22.9984,22.9895,22.9923,8127
2024-01-08 23:00:00,22.9923,22.9949,22.9859,22.9891,8999
2024-01-08 23:30:00,22.9891,22.9917,22.9834,22.9862,8898
2024-01-09 00:00:00,22.904,22.9113,22.9012,22.9092,8733
2024-01-09 00:30:00,22.9092,22.9157,22.9061,22.9131,7993
2024-01-09 01:00:00,22.9131,22.9202,22.9102,22.9179,6012
2024-01-09 01:30:00,22.9179,22.9244,22.9147,22.9223,7663
2024-01-09 02:00:00,22.9223,22.9295,22.9191,22.9268,8786
2024-01-09 02:30:00,22.9268,22.9337,22.9241,22.9313,7641
2024-01-09 03:00:00,22.9313,22.9383,22.9282,22.936,7522
2024-01-09 03:30:00,22.936,22.9438,22.9329,22.941,8220
2024-01-09 04:00:00,22.941,22.9495,22.9378,22.9461,8335
2024-01-09 04:30:00,22.9461,22.9543,22.943,22.9512,8225
2024-01-09 05:00:00,22.9512,22.9598,22.948,22.9568,8562
2024-01-09 05:30:00,22.9568,22.9653,22.954,22.9622,7960
2024-01-09 06:00:00,22.9622,22.9694,22.9589,22.9672,9220
2024-01-09 06:30:00,22.9672,22.9746,22.964,22.9717,7606
2024-01-09 07:00:00,22.9717,22.9786,22.9687,22.9767,7941
2024-01-09 07:30:00,22.9767,22.9842,22.9736,22.9814,9920
2024-01-09 08:00:00,22.9814,22.9888,22.9784,22.9859,8502
2024-01-09 08:30:00,22.9859,22.9939,22.9829,22.9904,8466
2024-01-09 09:00:00,22.9904,22.9982,22.9881,22.9954,8983
2024-01-09 09:30:00,22.9954,23.0019,22.9926,22.9996,9331
2024-01-09 10:00:00,22.9996,23.0077,22.9971,23.0049,8710
2024-01-09 10:30:00,23.0049,23.0125,23.0023,23.0095,9204
2024-01-09 11:00:00,23.0095,23.017,23.0064,23.0142,9383
2024-01-09 11:30:00,23.0142,23.0216,23.0109,23.019,8562
2024-01-09 12:00:00,23.019,23.0266,23.0167,23.0236,8283
2024-01-09 12:30:00,23.0236,23.0323,23.0204,23.0297,7981
