DateTime,Bid,Ask,Volume
2024-01-08 00:00:00,946.65738,946.75205,2
2024-01-08 00:00:06,946.61848,946.71315,5
2024-01-08 00:00:12,946.58767,946.68234,4
2024-01-08 00:00:18,946.6002,946.69486,3
2024-01-08 00:00:24,946.68782,946.78249,4
2024-01-08 00:00:30,946.59346,946.68813,3
2024-01-08 00:00:36,946.62956,946.72422,1
2024-01-08 00:00:42,946.67328,946.76795,5
2024-01-08 00:00:48,946.64222,946.73689,1
2024-01-08 00:00:54,946.65773,946.7524,6
2024-01-08 00:01:00,946.6395,946.73417,5
2024-01-08 00:01:06,946.641,946.73567,9
2024-01-08 00:01:12,946.59882,946.69348,6
2024-01-08 00:01:18,946.63446,946.72913,1
2024-01-08 00:01:24,946.62497,946.71964,4
2024-01-08 00:01:30,946.61221,946.70688,5
2024-01-08 00:01:36,946.61967,946.71434,5
2024-01-08 00:01:42,946.66822,946.76289,2
2024-01-08 00:01:48,946.69815,946.79282,7
2024-01-08 00:01:54,946.70856,946.80324,9
2024-01-08 00:02:00,946.7125,946.80718,8
2024-01-08 00:02:06,946.69553,946.79021,3
2024-01-08 00:02:12,946.64831,946.74298,1
2024-01-08 00:02:18,946.59436,946.68902,5
2024-01-08 00:02:24,946.55697,946.65163,3
2024-01-08 00:02:30,946.67634,946.77101,5
2024-01-08 00:02:36,946.69564,946.79032,6
2024-01-08 00:02:42,946.66339,946.75806,2
2024-01-08 00:02:48,946.71973,946.81441,1
2024-01-08 00:02:54,946.67348,946.76815,6
2024-01-08 00:03:00,946.67432,946.76899,4
2024-01-08 00:03:06,946.68236,946.77703,7
2024-01-08 00:03:12,946.60531,946.69997,8
2024-01-08 00:03:18,946.67475,946.76942,7
2024-01-08 00:03:24,946.61154,946.7062,9
2024-01-08 00:03:30,946.6446,946.73927,2
2024-01-08 00:03:36,946.60431,946.69898,7
2024-01-08 00:03:42,946.64177,946.73644,6
2024-01-08 00:03:48,946.59011,946.68478,4
2024-01-08 00:03:54,946.65951,946.75418,2
2024-01-08 00:04:00,946.65165,946.74632,4
2024-01-08 00:04:06,946.63011,946.72478,2
2024-01-08 00:04:12,946.69849,946.79317,2
2024-01-08 00:04:18,946.71749,946.81217,6
2024-01-08 00:04:24,946.64087,946.73554,8
2024-01-08 00:04:30,946.74059,946.83526,7
2024-01-08 00:04:36,946.65951,946.75418,7
2024-01-08 00:04:42,946.6479,946.74256,8
2024-01-08 00:04:48,946.66519,946.75986,6
2024-01-08 00:04:54,946.62214,946.71681,3
2024-01-08 00:05:00,946.60138,946.69604,5
