DateTime,Open,High,Low,Close,Volume
2024-01-08,2026.6,2026.8904,2018.4512,2018.7119,393343
2024-01-09,2026.4,2036.1107,2026.1318,2035.8505,382514
2024-01-10,2021.7,2028.532,2021.44,2028.2233,387336
2024-01-11,2014.3,2025.2568,2014.045,2024.9682,391823
2024-01-12,2046.7,2047.0034,2030.4813,2030.7427,409800
2024-01-16,2026.0,2052.6468,2025.725,2052.339,387589
2024-01-17,2002.6,2027.0857,2002.3519,2026.8172,392115
2024-01-18,2018.6,2018.861,2012.6253,2012.8891,389052
2024-01-19,2026.5,2026.7845,2022.6978,2022.9917,392636
2024-01-22,2019.8,2021.6477,2019.5017,2021.3679,393738
2024-01-23,2023.7,2030.5471,2023.4383,2030.2637,400544
2024-01-24,2013.9,2024.0929,2013.6026,2023.833,385211
2024-01-25,2016.9,2017.1555,2011.9289,2012.1938,384876
2024-01-26,2016.8,2021.901,2016.5403,2021.5998,395144
2024-01-29,2025.2,2025.5036,2024.8963,2025.2,400847
2024-01-30,2031.5,2032.7008,2031.1974,2032.4129,391391
2024-01-31,2048.3999,2048.6631,2035.7978,2036.0843,388038
2024-02-01,2053.0,2053.2966,2038.556,2038.8439,388348
2024-02-02,2036.1,2055.2507,2035.8256,2054.9752,393731
2024-02-05,2025.7,2039.2511,2025.4151,2039.0475,386020
2024-02-06,2034.5,2034.7671,2025.7195,2025.9922,391948
2024-02-07,2035.2,2035.4921,2032.6709,2032.9577,398411
2024-02-08,2032.2,2032.4728,2027.9752,2028.2652,397344
2024-02-09,2023.3,2032.0453,2023.0307,2031.7721,403199
2024-02-12,2018.2,2025.8098,2017.9662,2025.5127,396785
2024-02-13,1992.9,2024.7924,1992.6942,2024.5727,399936
2024-02-14,1990.3,1990.8694,1989.7801,1990.5581,397872
2024-02-15,2002.1,2002.3677,1992.9697,1993.246,403156
2024-02-16,2011.5,2011.7701,2004.6227,2004.8673,396327
2024-02-20,2027.5,2027.7828,2015.4858,2015.7283,395853
2024-02-21,2022.3,2028.7152,2021.9971,2028.4462,395021
2024-02-22,2019.7,2033.5514,2019.4828,2033.3529,393414
2024-02-23,2038.6,2038.8582,2025.9195,2026.1697,398506
2024-02-26,2028.5,2034.0963,2028.2407,2033.8402,387300
2024-02-27,2034.0,2036.2421,2033.7195,2035.9471,407639
2024-02-28,2033.0,2033.273,2029.425,2029.7349,392606
2024-02-29,2045.7,2045.9572,2034.2737,2034.5364,394338
2024-03-01,2086.8999,2087.1614,2041.5682,2041.7961,394527
2024-03-04,2117.7,2117.9444,2083.0091,2083.3638,387542
